Data,Views do Blog
21-Jun-2008,1310
22-Jun-2008,1386
23-Jun-2008,1265
24-Jun-2008,1370
25-Jun-2008,1227
26-Jun-2008,1659
27-Jun-2008,1231
28-Jun-2008,1298
29-Jun-2008,1211
30-Jun-2008,1712
1-Jul-2008,1208
2-Jul-2008,1618
3-Jul-2008,1208
4-Jul-2008,1404
5-Jul-2008,1223
6-Jul-2008,1585
7-Jul-2008,#N/D
8-Jul-2008,1417
9-Jul-2008,1698
10-Jul-2008,1371
11-Jul-2008,1558
12-Jul-2008,1513
13-Jul-2008,1661
14-Jul-2008,1530
15-Jul-2008,1286
16-Jul-2008,1591
17-Jul-2008,1658
18-Jul-2008,1646
19-Jul-2008,1408
20-Jul-2008,1486
21-Jul-2008,1703
22-Jul-2008,1243
23-Jul-2008,1236
24-Jul-2008,1318
25-Jul-2008,1652
26-Jul-2008,1514
27-Jul-2008,1230
28-Jul-2008,1247
29-Jul-2008,1313
30-Jul-2008,1280
31-Jul-2008,#N/D
1-Aug-2008,1504
2-Aug-2008,1356
3-Aug-2008,1302
4-Aug-2008,1525
5-Aug-2008,1287
6-Aug-2008,1488
7-Aug-2008,1180
8-Aug-2008,1295
9-Aug-2008,1580
10-Aug-2008,1212
11-Aug-2008,1222
12-Aug-2008,1669
13-Aug-2008,1567
14-Aug-2008,1436
15-Aug-2008,1234
16-Aug-2008,1252
17-Aug-2008,1624
18-Aug-2008,1256
19-Aug-2008,1680
20-Aug-2008,1592
21-Aug-2008,1403
22-Aug-2008,1613
23-Aug-2008,1652
24-Aug-2008,1298
25-Aug-2008,1610
26-Aug-2008,1613
27-Aug-2008,1428
28-Aug-2008,1614
29-Aug-2008,1688
30-Aug-2008,1679
31-Aug-2008,1547
1-Sep-2008,1603
2-Sep-2008,1680
3-Sep-2008,#N/D
4-Sep-2008,1448
5-Sep-2008,1257
6-Sep-2008,1687
7-Sep-2008,1565
8-Sep-2008,1357
9-Sep-2008,1700
10-Sep-2008,1695
11-Sep-2008,1513
12-Sep-2008,1640
13-Sep-2008,1636
14-Sep-2008,1716
15-Sep-2008,1381
16-Sep-2008,1567
17-Sep-2008,1477
18-Sep-2008,1370
19-Sep-2008,1458
20-Sep-2008,1527
21-Sep-2008,1308
22-Sep-2008,1549
23-Sep-2008,1518
24-Sep-2008,1576
25-Sep-2008,#N/D
26-Sep-2008,1275
27-Sep-2008,1687
28-Sep-2008,1255
29-Sep-2008,1745
30-Sep-2008,1656
1-Oct-2008,1676
2-Oct-2008,1699
3-Oct-2008,1588
4-Oct-2008,1631
5-Oct-2008,1346
6-Oct-2008,1620
7-Oct-2008,1783
8-Oct-2008,1330
9-Oct-2008,1709
10-Oct-2008,1653
11-Oct-2008,1303
12-Oct-2008,1563
13-Oct-2008,1685
14-Oct-2008,1316
15-Oct-2008,1718
16-Oct-2008,1346
17-Oct-2008,1375
18-Oct-2008,1514
19-Oct-2008,1484
20-Oct-2008,1314
21-Oct-2008,1445
22-Oct-2008,1490
23-Oct-2008,1332
24-Oct-2008,1458
25-Oct-2008,1305
26-Oct-2008,1476
27-Oct-2008,1450
28-Oct-2008,1614
29-Oct-2008,1427
30-Oct-2008,1430
31-Oct-2008,1400
1-Nov-2008,1587
2-Nov-2008,1402
3-Nov-2008,1469
4-Nov-2008,#N/D
5-Nov-2008,1421
6-Nov-2008,1436
7-Nov-2008,1312
8-Nov-2008,1432
9-Nov-2008,1780
10-Nov-2008,1355
11-Nov-2008,1476
12-Nov-2008,1452
13-Nov-2008,1617
14-Nov-2008,1696
15-Nov-2008,1485
16-Nov-2008,1682
17-Nov-2008,1683
18-Nov-2008,1420
19-Nov-2008,1657
20-Nov-2008,1746
21-Nov-2008,1612
22-Nov-2008,1760
23-Nov-2008,1751
24-Nov-2008,1487
25-Nov-2008,1784
26-Nov-2008,1380
27-Nov-2008,1722
28-Nov-2008,1758
29-Nov-2008,1733
30-Nov-2008,1712
1-Dec-2008,1560
2-Dec-2008,1540
3-Dec-2008,1680
4-Dec-2008,1493
5-Dec-2008,1626
6-Dec-2008,1803
7-Dec-2008,1343
8-Dec-2008,1437
9-Dec-2008,1696
10-Dec-2008,1676
11-Dec-2008,1653
12-Dec-2008,1616
13-Dec-2008,#N/D
14-Dec-2008,1777
15-Dec-2008,1643
16-Dec-2008,1457
17-Dec-2008,1443
18-Dec-2008,1380
19-Dec-2008,1699
20-Dec-2008,1784
21-Dec-2008,1565
22-Dec-2008,1783
23-Dec-2008,1605
24-Dec-2008,1351
25-Dec-2008,1811
26-Dec-2008,1784
27-Dec-2008,1484
28-Dec-2008,1378
29-Dec-2008,1617
30-Dec-2008,1693
31-Dec-2008,1465
1-Jan-2009,1451
2-Jan-2009,1554
3-Jan-2009,1708
4-Jan-2009,1661
5-Jan-2009,1740
6-Jan-2009,1663
7-Jan-2009,1745
8-Jan-2009,1624
9-Jan-2009,1566
10-Jan-2009,1669
11-Jan-2009,1449
12-Jan-2009,1634
13-Jan-2009,#N/D
14-Jan-2009,1758
15-Jan-2009,1664
16-Jan-2009,1387
17-Jan-2009,1517
18-Jan-2009,1401
19-Jan-2009,1645
20-Jan-2009,1272
21-Jan-2009,1686
22-Jan-2009,1554
23-Jan-2009,1603
24-Jan-2009,1257
25-Jan-2009,1572
26-Jan-2009,1700
27-Jan-2009,1544
28-Jan-2009,1490
29-Jan-2009,1475
30-Jan-2009,1690
31-Jan-2009,1513
1-Feb-2009,1646
2-Feb-2009,1563
3-Feb-2009,1311
4-Feb-2009,1575
5-Feb-2009,1643
6-Feb-2009,1408
7-Feb-2009,1427
8-Feb-2009,#N/D
9-Feb-2009,1298
10-Feb-2009,1351
11-Feb-2009,1346
12-Feb-2009,1299
13-Feb-2009,1603
14-Feb-2009,1395
15-Feb-2009,1740
16-Feb-2009,1313
17-Feb-2009,1481
18-Feb-2009,1354
19-Feb-2009,1345
20-Feb-2009,1685
21-Feb-2009,1497
22-Feb-2009,1311
23-Feb-2009,1431
24-Feb-2009,1671
25-Feb-2009,1580
26-Feb-2009,1479
27-Feb-2009,1498
28-Feb-2009,1649
1-Mar-2009,1692
2-Mar-2009,1549
3-Mar-2009,1660
4-Mar-2009,1680
5-Mar-2009,1770
6-Mar-2009,1275
7-Mar-2009,1340
8-Mar-2009,1695
9-Mar-2009,1620
10-Mar-2009,1411
11-Mar-2009,1721
12-Mar-2009,1524
13-Mar-2009,1430
14-Mar-2009,1448
15-Mar-2009,1674
16-Mar-2009,1529
17-Mar-2009,1426
18-Mar-2009,1759
19-Mar-2009,1761
20-Mar-2009,1575
21-Mar-2009,1405
22-Mar-2009,1514
23-Mar-2009,1370
24-Mar-2009,#N/D
25-Mar-2009,1410
26-Mar-2009,1417
27-Mar-2009,1611
28-Mar-2009,1547
29-Mar-2009,1662
30-Mar-2009,1420
31-Mar-2009,1387
